21,1
22,29
23,111
24,337
25,834
26,1868
27,3414
28,5611
29,8864
30,12545
31,17175
32,22443
33,27654
34,32763
35,37766
36,42115
37,45458
38,48314
39,49758
40,50765
41,50594
42,50480
43,48380
44,46072
45,43347
46,40554
47,37699
48,34142
49,30966
50,27876
51,24867
52,21667
53,19599
54,16980
55,14717
56,12937
57,11051
58,9464
59,8098
60,6759
61,5961
62,4931
63,4157
64,3643
65,2944
66,2474
67,2055
68,1723
69,1411
70,1167
71,993
72,815
73,649
74,564
75,453
76,383
77,270
78,267
79,204
80,173
81,108
82,115
83,78
84,69
85,67
86,43
87,40
88,28
89,28
90,22
91,24
92,13
93,7
94,4
95,11
96,1
97,5
98,5
99,4
100,5
101,2
102,2
103,2
104,1
106,1
107,2
108,2
