25,2
26,8
27,12
28,26
29,57
30,128
31,256
32,408
33,688
34,1064
35,1559
36,2207
37,2943
38,4004
39,5062
40,6175
41,7643
42,9223
43,10601
44,11972
45,13769
46,15319
47,17057
48,18330
49,19620
50,21014
51,22303
52,23346
53,24110
54,25144
55,25430
56,26065
57,26258
58,26239
59,26578
60,26348
61,26255
62,25911
63,25682
64,24665
65,24114
66,23663
67,22914
68,22203
69,21207
70,20450
71,19769
72,18864
73,18105
74,17222
75,16643
76,15666
77,14940
78,14154
79,13489
80,12824
81,11838
82,11086
83,10700
84,9994
85,9470
86,8796
87,8227
88,7718
89,7275
90,6682
91,6269
92,5837
93,5615
94,4940
95,4806
96,4489
97,4241
98,3801
99,3625
100,3404
101,3106
102,2875
103,2650
104,2478
105,2181
106,2189
107,1966
108,1783
109,1602
110,1579
111,1475
112,1345
113,1230
114,1183
115,1055
116,1015
117,883
118,824
119,741
120,675
121,642
122,652
123,558
124,532
125,467
126,487
127,431
128,344
129,344
130,350
131,272
132,287
133,252
134,237
135,227
136,185
137,209
138,166
139,161
140,136
141,138
142,113
143,116
144,131
145,106
146,85
147,79
148,68
149,58
150,74
151,58
152,57
153,44
154,45
155,46
156,36
157,36
158,31
159,34
160,29
161,30
162,18
163,19
164,21
165,18
166,17
167,20
168,14
169,15
170,15
171,10
172,9
173,6
174,14
175,10
176,13
177,5
178,7
179,4
180,5
181,2
182,3
183,3
184,4
185,3
186,3
187,4
188,1
189,2
190,3
191,3
192,1
194,1
197,3
198,2
199,1
202,2
203,1
208,2
211,1
212,1
213,1
221,1
223,1
224,1
226,1
